name,dvoa,wins,o_dvoa,d_dvoa,s_dvoa
SF,27.5,13.0,5.5,-21.2,0.9
PIT,27.0,11.0,12.9,-13.2,0.8
JAC,21.4,11.0,22.7,3.5,2.3
NE,12.0,10.0,7.2,-2.5,2.2
DET,8.9,9.0,4.2,-3.8,0.9
TB,8.0,10.0,1.4,-5.0,1.6
BAL,6.3,6.0,1.8,-2.4,2.1
DAL,4.9,6.0,-1.5,2.4,8.9
WAS,3.6,8.0,2.4,-0.7,0.5
NYG,3.2,10.0,-4.9,-9.9,-1.9
NYJ,2.6,9.0,-2.0,2.6,7.1
MIA,2.2,9.0,11.6,11.7,2.3
TEN,0.2,8.0,4.4,1.4,-2.8
CIN,-2.0,7.0,17.6,17.8,-1.9
PHI,-3.4,6.0,1.2,-1.2,-5.7
MIN,-4.6,9.0,9.1,11.2,-2.4
ATL,-4.9,7.0,-4.8,4.0,3.9
SEA,-10.7,8.0,3.0,2.6,-11.1
CAR,-13.2,7.0,-8.2,4.7,-0.3
BUF,-14.9,6.0,-18.0,-8.8,-5.7
OAK,-17.1,4.0,-0.7,14.4,-2.0
STL,-18.9,5.0,-14.6,-3.0,-7.3
IND,-19.6,3.0,-9.1,7.2,-3.2
ARI,-21.2,4.0,-13.8,8.4,1.0
NO,-27.6,6.0,-35.6,-6.3,1.7
CHI,-27.9,4.0,-13.6,5.1,-9.2
SD,-30.2,4.0,-28.3,2.5,0.6
DEN,32.6,14.0,34.5,4.3,2.3
NYJ,28.3,12.0,17.7,-11.8,-1.2
SF,25.2,12.0,28.8,0.3,-3.4
MIA,24.0,10.0,0.8,-22.4,0.7
MIN,23.1,15.0,23.6,1.3,0.8
BUF,19.2,10.0,19.4,-1.5,-1.7
ATL,18.8,14.0,6.4,-9.2,3.2
GB,15.9,11.0,6.7,-7.7,1.4
DAL,15.5,10.0,14.6,8.2,9.2
JAC,7.7,11.0,9.6,3.4,1.6
NE,7.4,9.0,-0.1,-6.1,1.5
TB,2.2,8.0,-7.5,-7.1,2.5
TEN,1.4,8.0,12.3,13.8,3.0
SEA,0.1,8.0,-10.4,-6.7,3.7
BAL,-0.2,6.0,-7.3,-4.4,2.7
PIT,-1.2,7.0,-6.4,-4.4,0.7
NYG,-4.5,8.0,-9.5,-6.0,-1.0
